URN,Crime.committed,Call.to.police,CSI.visit.starts,CSI.vist.ends,Data.input.begins,Data.input.ends,Van.picks.up.sample,Sample.arrives.at.lab,Sample.prep.begins,Sample.prep.ends,Enter.collect,Exit.Weds.collect,Enter.Weds.DNA.machine,Exit.Friday.collection,Enter.Friday.DNA.machine,Exit.Weds.DNA.machine,Enter.validation.process,Exit.Friday.DNA.machine,Enter.validation.process2,Exit.validation,Enter.ID.database
1,67.20714052,67.20714052,67.20714052,,,135.1912821,135.1912821,197.8628125,197.8628125,215.9647484,1044.368686,,,,,1164.368686,1164.368686,,,1174.813941,1174.813941
2,383.7360317,383.7360317,383.7360317,,,456.8571384,456.8571384,536.6428509,536.6428509,555.5025972,1044.368686,,,,,1164.368686,1174.813941,,,1188.11156,1188.11156
3,409.3768092,409.3768092,456.8571384,,,534.7797438,536.6428509,641.6159966,641.6159966,658.2907136,1044.368686,,,,,1164.368686,1188.11156,,,1205.607084,1205.607084
4,497.6107803,497.6107803,534.7797438,,,617.2178512,641.6159966,759.6470085,759.6470085,774.9805154,1044.368686,,,,,1164.368686,1205.607084,,,1225.278919,1225.278919
5,515.545024,515.545024,617.2178512,,,693.8740454,759.6470085,858.76128,858.76128,873.8301502,1044.368686,,,,,1164.368686,1225.278919,,,1241.797965,1241.797965
6,529.4803645,529.4803645,693.8740454,,,766.9264495,858.76128,938.2136436,938.2136436,958.0250386,1044.368686,,,,,1164.368686,1241.797965,,,1255.040025,1255.040025
7,531.5637612,531.5637612,766.9264495,,,842.0122403,858.76128,938.2136436,958.0250386,977.4208122,1044.368686,,,,,1164.368686,1255.040025,,,1270.125448,1270.125448
8,805.6933289,805.6933289,842.0122403,,,919.1521451,938.2136436,1028.72618,1028.72618,1044.368686,1044.368686,,,,,1164.368686,1270.125448,,,1287.036393,1287.036393
9,849.6833195,849.6833195,919.1521451,,,999.5014287,1028.72618,1130.191851,1130.191851,1149.772535,1605.462699,,,,,1725.462699,1725.462699,,,1744.381241,1744.381241
10,861.5557743,861.5557743,999.5014287,,,1074.540079,1130.191851,1243.703102,1243.703102,1263.148868,1605.462699,,,,,1725.462699,1744.381241,,,1759.419816,1759.419816
11,865.1795616,865.1795616,1074.540079,,,1151.742187,1243.703102,1333.934557,1333.934557,1353.084764,1605.462699,,,,,1725.462699,1759.419816,,,1776.37946,1776.37946
12,931.5006278,931.5006278,1151.742187,,,1218.85263,1243.703102,1333.934557,1353.084764,1371.442612,1605.462699,,,,,1725.462699,1776.37946,,,1786.602159,1786.602159
13,954.5676395,954.5676395,1218.85263,,,1291.053552,1333.934557,1435.692418,1435.692418,1453.717036,1605.462699,,,,,1725.462699,1786.602159,,,1799.194822,1799.194822
14,1031.757487,1031.757487,1291.053552,,,1367.161425,1435.692418,1497.02861,1497.02861,1513.787006,1605.462699,,,,,1725.462699,1799.194822,,,1815.241326,1815.241326
15,1071.567986,1071.567986,1367.161425,,,1435.287504,1435.692418,1497.02861,1513.787006,1533.749339,1605.462699,,,,,1725.462699,1815.241326,,,1825.729945,1825.729945
16,1093.34945,1093.34945,1435.287504,,,1512.322462,1512.322462,1587.878443,1587.878443,1605.462699,1605.462699,,,,,1725.462699,1825.729945,,,1842.55785,1842.55785
17,1109.370525,1109.370525,1512.322462,,,1585.053852,1587.878443,1684.157469,1684.157469,1703.747526,2324.144946,,,,,2444.144946,2444.144946,,,2457.133666,2457.133666
18,1412.686192,1412.686192,1585.053852,,,1663.29915,1684.157469,1747.089179,1747.089179,1766.864246,2324.144946,,,,,2444.144946,2457.133666,,,2474.852366,2474.852366
19,1551.397019,1551.397019,1663.29915,,,1733.809428,1747.089179,1848.05661,1848.05661,1864.161962,2324.144946,,,,,2444.144946,2474.852366,,,2486.370524,2486.370524
20,1577.458918,1577.458918,1733.809428,,,1810.281047,1848.05661,1925.988927,1925.988927,1945.14811,2324.144946,,,,,2444.144946,2486.370524,,,2502.73386,2502.73386
21,1722.428777,1722.428777,1810.281047,,,1888.691878,1925.988927,2032.301126,2032.301126,2051.872576,2324.144946,,,,,2444.144946,2502.73386,,,2520.563003,2520.563003
22,1774.945609,1774.945609,1888.691878,,,1962.478455,2032.301126,2101.410076,2101.410076,2120.663974,2324.144946,,,,,2444.144946,2520.563003,,,2534.423199,2534.423199
23,1847.116983,1847.116983,1962.478455,,,2034.602765,2101.410076,2199.590093,2199.590093,2216.139391,2324.144946,,,,,2444.144946,2534.423199,,,2546.960989,2546.960989
24,1938.728222,1938.728222,2034.602765,,,2110.769193,2199.590093,2306.564948,2306.564948,2324.144946,2324.144946,,,,,2444.144946,2546.960989,,,2563.05939,2563.05939
25,1951.570132,1951.570132,2110.769193,,,2185.839302,2199.590093,2306.564948,2324.144946,2341.586671,3355.248898,,,,,3475.248898,3475.248898,,,3490.31876,3490.31876
26,2008.288716,2008.288716,2185.839302,,,2268.814849,2306.564948,2389.726128,2389.726128,2405.966096,3355.248898,,,,,3475.248898,3490.31876,,,3510.11384,3510.11384
27,2089.323839,2089.323839,2268.814849,,,2344.212874,2389.726128,2464.952866,2464.952866,2483.624524,3355.248898,,,,,3475.248898,3510.11384,,,3525.503944,3525.503944
28,2244.19158,2244.19158,2344.212874,,,2424.431446,2464.952866,2561.543271,2561.543271,2580.787921,3355.248898,,,,,3475.248898,3525.503944,,,3544.360842,3544.360842
29,2460.006729,2460.006729,2460.006729,,,2534.370565,2561.543271,2651.962446,2651.962446,2668.455555,3355.248898,,,,,3475.248898,3544.360842,,,3558.744913,3558.744913
30,2844.013132,2844.013132,2844.013132,,,2924.9151,2924.9151,3043.685578,3043.685578,3061.142431,3355.248898,,,,,3475.248898,3558.744913,,,3577.90522,3577.90522
31,3061.648059,3061.648059,3061.648059,,,3133.151713,3133.151713,3225.492338,3225.492338,3241.644923,3355.248898,,,,,3475.248898,3577.90522,,,3590.020096,3590.020096
32,3101.31307,3101.31307,3133.151713,,,3203.830789,3225.492338,3338.633723,3338.633723,3355.248898,3355.248898,,,,,3475.248898,3590.020096,,,3601.632692,3601.632692
33,3143.427632,3143.427632,3203.830789,,,3275.179224,3338.633723,3424.938154,3424.938154,3443.030342,4085.545187,,,,,4205.545187,4205.545187,,,4217.560318,4217.560318
34,3293.065309,3293.065309,3293.065309,,,3371.058509,3424.938154,3539.899996,3539.899996,3558.669462,4085.545187,,,,,4205.545187,4217.560318,,,4235.105556,4235.105556
35,3524.809798,3524.809798,3524.809798,,,3590.468442,3590.468442,3663.157696,3663.157696,3680.384236,4085.545187,,,,,4205.545187,4235.105556,,,4245.127247,4245.127247
36,3539.946253,3539.946253,3590.468442,,,3665.698484,3665.698484,3735.374058,3735.374058,3754.537501,4085.545187,,,,,4205.545187,4245.127247,,,4260.354642,4260.354642
37,3551.993877,3551.993877,3665.698484,,,3735.879919,3735.879919,3807.970705,3807.970705,3827.816811,4085.545187,,,,,4205.545187,4260.354642,,,4271.697005,4271.697005
38,3575.77201,3575.77201,3735.879919,,,3810.57075,3810.57075,3915.842177,3915.842177,3934.044716,4085.545187,,,,,4205.545187,4271.697005,,,4286.392616,4286.392616
39,3615.759872,3615.759872,3810.57075,,,3892.689248,3915.842177,3975.972321,3975.972321,3991.684584,4085.545187,,,,,4205.545187,4286.392616,,,4305.977463,4305.977463
40,3628.485296,3628.485296,3892.689248,,,3971.859693,3975.972321,4067.336694,4067.336694,4085.545187,4085.545187,,,,,4205.545187,4305.977463,,,4324.278278,4324.278278
41,3643.014184,3643.014184,3971.859693,,,4045.807868,4067.336694,4135.390874,4135.390874,4153.617645,4769.120642,,,,,4889.120642,4889.120642,,,4903.124134,4903.124134
42,3741.396398,3741.396398,4045.807868,,,4127.647888,4135.390874,4223.564538,4223.564538,4239.813702,4769.120642,,,,,4889.120642,4903.124134,,,4922.62486,4922.62486
43,3776.447361,3776.447361,4127.647888,,,4203.992564,4223.564538,4341.073623,4341.073623,4359.566557,4769.120642,,,,,4889.120642,4922.62486,,,4938.879128,4938.879128
44,3803.774013,3803.774013,4203.992564,,,4272.455373,4341.073623,4450.878508,4450.878508,4469.883362,4769.120642,,,,,4889.120642,4938.879128,,,4949.47868,4949.47868
45,3837.469924,3837.469924,4272.455373,,,4352.802348,4450.878508,4534.899461,4534.899461,4552.349409,4769.120642,,,,,4889.120642,4949.47868,,,4968.396148,4968.396148
46,3950.231595,3950.231595,4352.802348,,,4427.270804,4450.878508,4534.899461,4552.349409,4569.803146,4769.120642,,,,,4889.120642,4968.396148,,,4982.878732,4982.878732
47,4066.289796,4066.289796,4427.270804,,,4510.15504,4534.899461,4651.903818,4651.903818,4671.272231,4769.120642,,,,,4889.120642,4982.878732,,,5002.654909,5002.654909
48,4088.998009,4088.998009,4510.15504,,,4584.139344,4651.903818,4749.429426,4749.429426,4769.120642,4769.120642,,,,,4889.120642,5002.654909,,,5016.690795,5016.690795
49,4202.659587,4202.659587,4584.139344,,,4664.783742,4749.429426,4813.026739,4813.026739,4830.682842,5357.861659,,,,,5477.861659,5477.861659,,,5496.913095,5496.913095
