URN,Crime.committed,Call.to.police,CSI.visit.starts,CSI.vist.ends,Data.input.begins,Data.input.ends,Van.picks.up.sample,Sample.arrives.at.lab,Sample.prep.begins,Sample.prep.ends,Enter.collect,Exit.Weds.collect,Enter.Weds.DNA.machine,Exit.Friday.collection,Enter.Friday.DNA.machine,Exit.Weds.DNA.machine,Enter.validation.process,Exit.Friday.DNA.machine,Enter.validation.process2,Exit.validation,Enter.ID.database
1,47.25275435,47.25275435,480,536.2709714,900,960,960,1064.71901,1944.66324,1960.725349,3420,3420,3420,,,6300,6301.1573,,,6303.018218,6303.018218
2,102.8772306,102.8772306,480,547.7781075,900,960,960,1064.71901,1960.725349,1982.673313,3420,3420,3420,,,6300,6303.018218,,,6304.030226,6304.030226
3,434.5228266,434.5228266,480,531.7325745,900,960,960,1064.71901,1920,1944.66324,3420,3420,3420,,,6300,6300,,,6301.1573,6301.1573
4,536.4726673,536.4726673,536.4726673,605.7985753,900,960,960,1064.71901,1982.673313,1992.946586,3420,3420,3420,,,6300,6304.030226,,,6305.944371,6305.944371
5,605.6547642,605.6547642,605.6547642,664.5534781,900,960,960,1064.71901,1992.946586,2016.518945,3420,3420,3420,,,6300,6305.944371,,,6307.26112,6307.26112
6,703.1364252,703.1364252,703.1364252,770.1884787,900,960,960,1064.71901,2016.518945,2035.911345,3420,3420,3420,,,6300,6307.26112,,,6309.092667,6309.092667
7,719.8022722,719.8022722,719.8022722,779.4931104,900,960,960,1064.71901,2035.911345,2060.836582,3420,3420,3420,,,6300,6309.092667,,,6310.468316,6310.626004
8,733.0403298,733.0403298,733.0403298,794.3831246,900,960,960,1064.71901,2060.836582,2089.637021,3420,3420,3420,,,6300,6310.468316,,,6311.970932,6312.467482
9,738.011426,738.011426,770.1884787,827.2464122,900,960,960,1064.71901,2089.637021,2104.107825,3420,3420,3420,,,6300,6311.970932,,,6313.170189,6314.395154
10,763.7030943,763.7030943,779.4931104,839.3576661,900,960,960,1064.71901,2104.107825,2129.598494,3420,3420,3420,,,6300,6313.170189,,,6314.559427,6315.756867
11,860.4741844,860.4741844,860.4741844,1935.753988,2340,2400,2400,2525.827541,3360,3374.91165,3420,3420,3420,,,6300,6314.559427,,,6315.670932,6316.932358
12,925.8229853,925.8229853,1920,1972.612631,2340,2400,2400,2525.827541,3374.91165,3398.44371,3420,3420,3420,,,6300,6315.670932,,,6316.698236,6318.785414
13,1132.600208,1132.600208,1920,1982.626625,2340,2400,2400,2525.827541,3398.44371,3427.191497,6660,,,6660,6660,,,9540,10620,10621.59173,10621.59173
14,1159.489149,1159.489149,1935.753988,2004.840337,2340,2400,2400,2525.827541,3427.191497,3450.266937,6660,,,6660,6660,,,9540,10621.59173,10623.49848,10623.49848
15,1202.994302,1202.994302,1972.612631,2025.087587,2340,2400,2400,2525.827541,3450.266937,3479.629065,6660,,,6660,6660,,,9540,10623.49848,10624.52298,10625.27871
16,1443.636081,1443.636081,1982.626625,2054.198083,2340,2400,2400,2525.827541,3479.629065,3505.683348,6660,,,6660,6660,,,9540,10624.52298,10626.49163,10627.17399
17,1517.338554,1517.338554,2004.840337,2074.552733,2340,2400,2400,2525.827541,3505.683348,3526.575005,6660,,,6660,6660,,,9540,10626.49163,10628.41707,10628.85577
18,1551.30951,1551.30951,2025.087587,2085.54047,2340,2400,2400,2525.827541,3526.575005,3548.951549,6660,,,6660,6660,,,9540,10628.41707,10629.85276,10630.35693
19,1587.400933,1587.400933,2054.198083,2116.936222,2340,2400,2400,2525.827541,3548.951549,3572.317803,6660,,,6660,6660,,,9540,10629.85276,10631.45182,10631.79108
20,1614.241616,1614.241616,2074.552733,2137.779179,2340,2400,2400,2525.827541,3572.317803,3598.834976,6660,,,6660,6660,,,9540,10631.45182,10633.08217,10633.32853
21,1725.55576,1725.55576,2085.54047,2153.743372,2340,2400,2400,2525.827541,3598.834976,3608.99846,6660,,,6660,6660,,,9540,10633.08217,10634.95897,10635.11453
22,1952.540492,1952.540492,2116.936222,2185.748284,2340,2400,2400,2525.827541,3608.99846,3626.251497,6660,,,6660,6660,,,9540,10634.95897,10636.85686,10636.85686
23,2160.123043,2160.123043,2160.123043,2228.797885,2340,2400,2400,2525.827541,3626.251497,3655.239368,6660,,,6660,6660,,,9540,10636.85686,10638.75017,10638.83557
24,2402.929561,2402.929561,3360,3418.630992,3780,3840,3840,3940.360218,4800,4814.082712,6660,,,6660,6660,,,9540,10638.75017,10640.04815,10640.11919
25,2405.924764,2405.924764,3360,3422.721874,3780,3840,3840,3940.360218,4835.669759,4859.562916,6660,,,6660,6660,,,9540,10641.64614,10643.07232,10643.07232
26,2834.353034,2834.353034,3360,3420.330802,3780,3840,3840,3940.360218,4814.082712,4835.669759,6660,,,6660,6660,,,9540,10640.04815,10641.64614,10641.67392
27,3079.563644,3079.563644,3418.630992,3475.347029,3780,3840,3840,3940.360218,4859.562916,4877.077751,6660,,,6660,6660,,,9540,10643.07232,10644.25274,10644.25274
28,3157.264819,3157.264819,3420.330802,3476.095755,3780,3840,3840,3940.360218,4877.077751,4889.00133,6660,,,6660,6660,,,9540,10644.25274,10645.38568,10645.49494
29,3277.145663,3277.145663,3422.721874,3485.854197,3780,3840,3840,3940.360218,4889.00133,4908.694063,6660,,,6660,6660,,,9540,10645.38568,10647.0101,10647.0101
30,3440.974952,3440.974952,3475.347029,3530.060041,3780,3840,3840,3940.360218,4908.694063,4931.977861,6660,,,6660,6660,,,9540,10647.0101,10648.09895,10648.09895
31,3529.949711,3529.949711,3529.949711,3591.37757,3780,3840,3840,3940.360218,4931.977861,4952.534287,6660,,,6660,6660,,,9540,10648.09895,10649.60774,10649.97593
32,3705.659532,3705.659532,3705.659532,3769.38847,3780,3840,3840,3940.360218,4952.534287,4978.994499,6660,,,6660,6660,,,9540,10649.60774,10651.26898,10651.36234
33,3861.487029,3861.487029,4800,4865.428901,5220,5280,5280,5407.424374,6273.089867,6284.015793,6660,,,6660,6660,,,9540,10654.50717,10656.11033,10656.11033
34,3866.416724,3866.416724,4800,4861.069128,5220,5280,5280,5407.424374,6240,6253.452839,6660,,,6660,6660,,,9540,10651.26898,10653.02469,10653.02469
35,3902.153759,3902.153759,4800,4862.800986,5220,5280,5280,5407.424374,6253.452839,6273.089867,6660,,,6660,6660,,,9540,10653.02469,10654.50717,10654.50717
36,4021.546812,4021.546812,4861.069128,4932.510676,5220,5280,5280,5407.424374,6299.539435,6315.385216,6660,,,6660,6660,,,9540,10658.07657,10659.53387,10659.53387
37,4177.818431,4177.818431,4862.800986,4923.535261,5220,5280,5280,5407.424374,6284.015793,6299.539435,6660,,,6660,6660,,,9540,10656.11033,10658.07657,10658.07657
38,4318.091595,4318.091595,4865.428901,4935.200742,5220,5280,5280,5407.424374,6315.385216,6327.346354,6660,,,6660,6660,,,9540,10659.53387,10661.46098,10661.46098
39,4389.377559,4389.377559,4923.535261,4989.41777,5220,5280,5280,5407.424374,6327.346354,6356.59218,6660,,,6660,6660,,,9540,10661.46098,10663.2393,10663.40945
40,4389.839349,4389.839349,4932.510676,5002.967731,5220,5280,5280,5407.424374,6381.72381,6408.210517,6660,,,6660,6660,,,9540,10665.18427,10666.7636,10666.9666
41,4702.757459,4702.757459,4935.200742,4997.640841,5220,5280,5280,5407.424374,6356.59218,6381.72381,6660,,,6660,6660,,,9540,10663.2393,10665.18427,10665.18427
42,4742.472621,4742.472621,4989.41777,5047.298527,5220,5280,5280,5407.424374,6408.210517,6429.174227,6660,,,6660,6660,,,9540,10666.7636,10668.01202,10668.2652
43,4756.813072,4756.813072,4997.640841,5063.714082,5220,5280,5280,5407.424374,6456.387454,6485.953008,6660,,,6660,6660,,,9540,10669.79953,10671.03679,10671.03679
44,4763.192618,4763.192618,5002.967731,5060.669389,5220,5280,5280,5407.424374,6429.174227,6456.387454,6660,,,6660,6660,,,9540,10668.01202,10669.79953,10669.79953
45,4897.114771,4897.114771,5047.298527,5107.805318,5220,5280,5280,5407.424374,6485.953008,6496.715032,6660,,,6660,6660,,,9540,10671.03679,10672.47665,10672.80159
46,5033.072899,5033.072899,5060.669389,5120.431849,5220,5280,5280,5407.424374,6496.715032,6515.189263,6660,,,6660,6660,,,9540,10672.47665,10673.85787,10674.18236
47,5251.318421,5251.318421,6240,6305.856934,6660,6720,6720,6829.502453,10597.89847,10611.80379,13500,13500,13500,,,16380,16383.4642,,,16385.03339,16385.2655
48,5503.401626,5503.401626,6240,6304.168206,6660,6720,6720,6829.502453,10583.46286,10597.89847,13500,13500,13500,,,16380,16381.77708,,,16383.4642,16383.4642
