URN,Crime.committed,Call.to.police,CSI.visit.starts,CSI.vist.ends,Data.input.begins,Data.input.ends,Van.picks.up.sample,Sample.arrives.at.lab,Sample.prep.begins,Sample.prep.ends,Enter.collect,Exit.Weds.collect,Enter.Weds.DNA.machine,Exit.Friday.collection,Enter.Friday.DNA.machine,Exit.Weds.DNA.machine,Enter.validation.process,Exit.Friday.DNA.machine,Enter.validation.process2,Exit.validation,Enter.ID.database
1,6.088398608,6.088398608,480,540.9662218,900,960,960,1074.244245,1920,1931.013397,3420,3420,3420,,,6300,6300,,,6301.474808,6301.474808
2,80.69082441,80.69082441,480,545.5489728,900,960,960,1074.244245,1931.013397,1945.093309,3420,3420,3420,,,6300,6301.474808,,,6303.236616,6303.236616
3,82.03612936,82.03612936,480,551.2431617,900,960,960,1074.244245,1945.093309,1966.04839,3420,3420,3420,,,6300,6303.236616,,,6305.19898,6305.19898
4,83.2604008,83.2604008,540.9662218,602.8494655,900,960,960,1074.244245,1966.04839,1988.862785,3420,3420,3420,,,6300,6305.19898,,,6306.740181,6306.740181
5,154.3736647,154.3736647,545.5489728,604.3121421,900,960,960,1074.244245,1988.862785,2012.243627,3420,3420,3420,,,6300,6306.740181,,,6308.047354,6308.362074
6,293.444133,293.444133,551.2431617,615.6930202,900,960,960,1074.244245,2012.243627,2029.068793,3420,3420,3420,,,6300,6308.047354,,,6309.750539,6309.775014
7,423.9107217,423.9107217,602.8494655,669.1983933,900,960,960,1074.244245,2042.489519,2072.325113,3420,3420,3420,,,6300,6311.550963,,,6313.105336,6313.105336
8,431.4083725,431.4083725,604.3121421,666.3850349,900,960,960,1074.244245,2029.068793,2042.489519,3420,3420,3420,,,6300,6309.750539,,,6311.550963,6311.550963
9,691.0059459,691.0059459,691.0059459,749.982671,900,960,960,1074.244245,2072.325113,2089.25729,3420,3420,3420,,,6300,6313.105336,,,6314.427663,6314.947766
10,938.1731876,938.1731876,1920,1984.397796,2340,2400,2400,2522.854247,3389.717131,3405.823496,3420,3420,3420,,,6300,6317.394146,,,6319.050165,6319.29023
11,1000.781585,1000.781585,1920,1978.158355,2340,2400,2400,2522.854247,3360,3371.710886,3420,3420,3420,,,6300,6314.427663,,,6316.127911,6316.652494
12,1191.20055,1191.20055,1920,1983.64249,2340,2400,2400,2522.854247,3371.710886,3389.717131,3420,3420,3420,,,6300,6316.127911,,,6317.394146,6318.218008
13,1445.255118,1445.255118,1978.158355,2040.082926,2340,2400,2400,2522.854247,3405.823496,3433.618406,6660,,,6660,6660,,,9540,10620,10621.54409,10621.54409
14,1517.174524,1517.174524,1983.64249,2046.857864,2340,2400,2400,2522.854247,3451.152185,3465.64325,6660,,,6660,6660,,,9540,10623.17375,10624.4547,10624.46018
15,1527.302723,1527.302723,1984.397796,2042.778555,2340,2400,2400,2522.854247,3433.618406,3451.152185,6660,,,6660,6660,,,9540,10621.54409,10623.17375,10623.17375
16,1964.781295,1964.781295,2040.082926,2108.692704,2340,2400,2400,2522.854247,3490.146598,3515.396295,6660,,,6660,6660,,,9540,10626.3458,10627.48915,10627.84
17,2000.959001,2000.959001,2042.778555,2098.764901,2340,2400,2400,2522.854247,3465.64325,3490.146598,6660,,,6660,6660,,,9540,10624.4547,10626.3458,10626.3458
18,2228.873443,2228.873443,2228.873443,2295.797515,2340,2400,2400,2522.854247,3515.396295,3525.580733,6660,,,6660,6660,,,9540,10627.48915,10629.31523,10629.52635
19,2255.405507,2255.405507,2255.405507,2319.264018,2340,2400,2400,2522.854247,3525.580733,3550.345411,6660,,,6660,6660,,,9540,10629.31523,10630.98421,10630.98421
20,2639.056651,2639.056651,3360,3428.499843,3780,3840,3840,3968.870893,4835.016604,4864.56214,6660,,,6660,6660,,,9540,10634.40816,10635.92068,10636.12362
21,2640.228433,2640.228433,3360,3421.817964,3780,3840,3840,3968.870893,4811.656615,4835.016604,6660,,,6660,6660,,,9540,10632.87153,10634.40816,10634.52284
22,2673.363568,2673.363568,3360,3421.479415,3780,3840,3840,3968.870893,4800,4811.656615,6660,,,6660,6660,,,9540,10630.98421,10632.87153,10632.87153
23,2820.575154,2820.575154,3421.479415,3495.473124,3780,3840,3840,3968.870893,4893.534248,4918.030442,6660,,,6660,6660,,,9540,10639.40704,10641.15049,10641.15049
24,2948.123133,2948.123133,3421.817964,3482.975986,3780,3840,3840,3968.870893,4864.56214,4875.629744,6660,,,6660,6660,,,9540,10635.92068,10637.91798,10638.08503
25,3163.583237,3163.583237,3428.499843,3493.691383,3780,3840,3840,3968.870893,4875.629744,4893.534248,6660,,,6660,6660,,,9540,10637.91798,10639.40704,10640.00116
26,3382.277334,3382.277334,3482.975986,3544.6247,3780,3840,3840,3968.870893,4918.030442,4943.893122,6660,,,6660,6660,,,9540,10641.15049,10642.67514,10643.10884
27,3405.830288,3405.830288,3493.691383,3562.109046,3780,3840,3840,3968.870893,4943.893122,4955.488762,6660,,,6660,6660,,,9540,10642.67514,10644.5596,10644.63522
28,3676.372428,3676.372428,3676.372428,3741.498277,3780,3840,3840,3968.870893,4955.488762,4979.553627,6660,,,6660,6660,,,9540,10644.5596,10646.2996,10646.2996
29,3857.154679,3857.154679,4800,4861.128441,5220,5280,5280,5396.236056,6240,6256.941884,6660,,,6660,6660,,,9540,10646.2996,10647.78648,10647.80101
30,3872.657383,3872.657383,4800,4865.335578,5220,5280,5280,5396.236056,6256.941884,6273.467293,6660,,,6660,6660,,,9540,10647.78648,10649.53741,10649.78277
31,3896.143273,3896.143273,4800,4868.539979,5220,5280,5280,5396.236056,6273.467293,6301.622179,6660,,,6660,6660,,,9540,10649.53741,10651.42613,10651.42613
32,4026.138747,4026.138747,4861.128441,4926.666036,5220,5280,5280,5396.236056,6301.622179,6330.082377,6660,,,6660,6660,,,9540,10651.42613,10653.18736,10653.19688
33,4174.713413,4174.713413,4865.335578,4931.079874,5220,5280,5280,5396.236056,6330.082377,6343.851904,6660,,,6660,6660,,,9540,10653.18736,10654.95892,10654.95892
34,4259.147615,4259.147615,4868.539979,4939.687568,5220,5280,5280,5396.236056,6343.851904,6373.047766,6660,,,6660,6660,,,9540,10654.95892,10656.91934,10656.91934
